physician_id,segment,specialty,region,formulary_tier,adoption_status,adoption_rate_pct,adopted_therapy,patient_panel_size,adopted_patients_est,untapped_patients_est,rep_visit_frequency_q,rep_coverage_band,digital_engagement_score,engagement_band,peer_influence_score,competitor_loyalty_score,patient_oop_cost_estimate,cost_band,pct_medicare_patients,years_in_practice,tenure_band
PHY100113,Access-Constrained,Primary Care,West,2 - Standard,Not adopted,2.4,0,215.0,5.0,210.0,2,Medium (2-3/qtr),34.0,Medium,47.1,9.6,106.0,High ($100+),32.3,17.0,Senior (16+ yrs)
PHY100114,Access-Constrained,Cardiology,West,2 - Standard,Not adopted,12.3,0,126.0,15.0,111.0,3,Medium (2-3/qtr),74.0,High,45.0,46.5,88.0,Medium ($50-100),9.2,12.0,Mid (6-15 yrs)
PHY100115,Advocates (High Adopters),Internal Medicine,West,2 - Standard,Not adopted,7.3,0,182.0,13.0,169.0,6,High (4+/qtr),33.9,Medium,32.6,82.2,71.0,Medium ($50-100),21.0,3.0,Early (0-5 yrs)
PHY100116,Access-Constrained,Primary Care,Northeast,3 - Restricted (high copay),Not adopted,1.3,0,58.0,1.0,57.0,2,Medium (2-3/qtr),38.1,Medium,65.8,47.7,92.0,Medium ($50-100),52.4,21.0,Senior (16+ yrs)
PHY100117,Access-Constrained,Primary Care,Northeast,2 - Standard,Adopted,8.9,1,193.0,17.0,176.0,2,Medium (2-3/qtr),57.6,Medium,79.8,62.9,95.0,Medium ($50-100),6.4,17.0,Senior (16+ yrs)
PHY100118,Access-Constrained,Primary Care,Midwest,3 - Restricted (high copay),Not adopted,2.9,0,226.0,7.0,219.0,3,Medium (2-3/qtr),63.1,Medium,38.9,97.0,108.0,High ($100+),26.5,9.0,Mid (6-15 yrs)
PHY100119,"White Space (High Potential, Under-Engaged)",Primary Care,South,1 - Preferred (low copay),Not adopted,17.6,0,163.0,29.0,134.0,2,Medium (2-3/qtr),66.9,High,61.1,58.1,26.0,Low ($0-50),32.0,12.0,Mid (6-15 yrs)
PHY100120,Access-Constrained,Primary Care,Northeast,3 - Restricted (high copay),Not adopted,1.4,0,289.0,4.0,285.0,3,Medium (2-3/qtr),48.0,Medium,58.6,34.7,131.0,High ($100+),64.2,3.0,Early (0-5 yrs)
PHY100121,"White Space (High Potential, Under-Engaged)",Primary Care,West,2 - Standard,Not adopted,5.9,0,127.0,7.0,120.0,0,Low (0-1/qtr),61.6,Medium,50.2,37.4,73.0,Medium ($50-100),49.5,7.0,Mid (6-15 yrs)
PHY100122,Access-Constrained,Cardiology,South,2 - Standard,Not adopted,5.9,0,193.0,11.0,182.0,3,Medium (2-3/qtr),66.4,High,19.5,50.0,125.0,High ($100+),29.6,10.0,Mid (6-15 yrs)
PHY100123,Access-Constrained,Primary Care,South,3 - Restricted (high copay),Not adopted,4.3,0,178.0,8.0,170.0,2,Medium (2-3/qtr),54.4,Medium,24.0,37.3,75.0,Medium ($50-100),57.6,23.0,Senior (16+ yrs)
PHY100124,Access-Constrained,Cardiology,Northeast,2 - Standard,Not adopted,6.2,0,174.0,11.0,163.0,1,Low (0-1/qtr),46.9,Medium,34.4,38.8,80.0,Medium ($50-100),26.9,10.0,Mid (6-15 yrs)
PHY100125,Access-Constrained,Primary Care,Midwest,3 - Restricted (high copay),Not adopted,0.3,0,173.0,1.0,172.0,5,High (4+/qtr),18.2,Low,7.2,69.7,93.0,Medium ($50-100),53.1,18.0,Senior (16+ yrs)
PHY100126,"White Space (High Potential, Under-Engaged)",Endocrinology,Northeast,2 - Standard,Not adopted,7.8,0,186.0,15.0,171.0,1,Low (0-1/qtr),63.2,Medium,78.2,70.5,61.0,Medium ($50-100),17.6,10.0,Mid (6-15 yrs)
PHY100127,Advocates (High Adopters),Cardiology,West,1 - Preferred (low copay),Adopted,43.5,1,231.0,100.0,131.0,5,High (4+/qtr),50.9,Medium,57.4,17.1,48.0,Low ($0-50),54.1,16.0,Senior (16+ yrs)
PHY100128,Access-Constrained,Cardiology,South,2 - Standard,Not adopted,2.1,0,263.0,6.0,257.0,1,Low (0-1/qtr),40.9,Medium,49.4,33.6,129.0,High ($100+),31.9,13.0,Mid (6-15 yrs)
PHY100129,Access-Constrained,Primary Care,South,2 - Standard,Not adopted,3.1,0,180.0,6.0,174.0,3,Medium (2-3/qtr),78.1,High,6.2,40.7,89.0,Medium ($50-100),22.6,20.0,Senior (16+ yrs)
PHY100130,Access-Constrained,Cardiology,Midwest,3 - Restricted (high copay),Not adopted,0.7,0,229.0,2.0,227.0,6,High (4+/qtr),18.6,Low,13.5,62.0,90.0,Medium ($50-100),34.7,10.0,Mid (6-15 yrs)
PHY100131,Access-Constrained,Internal Medicine,Midwest,3 - Restricted (high copay),Not adopted,10.6,0,138.0,15.0,123.0,5,High (4+/qtr),86.2,High,50.0,72.9,64.0,Medium ($50-100),42.2,3.0,Early (0-5 yrs)
PHY100132,"White Space (High Potential, Under-Engaged)",Primary Care,Midwest,1 - Preferred (low copay),Not adopted,8.6,0,226.0,19.0,207.0,2,Medium (2-3/qtr),49.5,Medium,89.4,100.0,17.0,Low ($0-50),30.6,4.0,Early (0-5 yrs)
PHY100133,"White Space (High Potential, Under-Engaged)",Endocrinology,South,1 - Preferred (low copay),Adopted,28.6,1,134.0,38.0,96.0,4,High (4+/qtr),57.0,Medium,36.0,40.7,47.0,Low ($0-50),46.3,10.0,Mid (6-15 yrs)
PHY100134,"White Space (High Potential, Under-Engaged)",Primary Care,South,1 - Preferred (low copay),Not adopted,6.8,0,245.0,17.0,228.0,3,Medium (2-3/qtr),41.3,Medium,67.3,41.7,44.0,Low ($0-50),29.3,5.0,Early (0-5 yrs)
PHY100135,Access-Constrained,Cardiology,Northeast,2 - Standard,Not adopted,2.8,0,313.0,9.0,304.0,1,Low (0-1/qtr),13.3,Low,40.4,61.8,79.0,Medium ($50-100),47.3,17.0,Senior (16+ yrs)
PHY100136,"White Space (High Potential, Under-Engaged)",Internal Medicine,West,1 - Preferred (low copay),Not adopted,15.7,0,173.0,27.0,146.0,4,High (4+/qtr),46.9,Medium,51.1,36.4,5.0,Low ($0-50),44.6,11.0,Mid (6-15 yrs)
PHY100137,Access-Constrained,Primary Care,Northeast,2 - Standard,Adopted,9.2,1,48.0,4.0,44.0,2,Medium (2-3/qtr),57.4,Medium,74.3,47.2,83.0,Medium ($50-100),37.1,31.0,Senior (16+ yrs)
PHY100138,Access-Constrained,Primary Care,West,2 - Standard,Not adopted,14.8,0,147.0,22.0,125.0,3,Medium (2-3/qtr),64.9,Medium,43.1,41.7,111.0,High ($100+),31.4,2.0,Early (0-5 yrs)
PHY100139,Access-Constrained,Cardiology,Northeast,3 - Restricted (high copay),Not adopted,4.6,0,254.0,12.0,242.0,2,Medium (2-3/qtr),45.6,Medium,36.2,0.0,151.0,High ($100+),40.3,15.0,Mid (6-15 yrs)
PHY100140,Advocates (High Adopters),Primary Care,Midwest,1 - Preferred (low copay),Not adopted,17.4,0,213.0,37.0,176.0,5,High (4+/qtr),1.8,Low,78.4,52.5,13.0,Low ($0-50),46.3,6.0,Mid (6-15 yrs)
PHY100141,Access-Constrained,Primary Care,West,2 - Standard,Not adopted,15.8,0,195.0,31.0,164.0,3,Medium (2-3/qtr),16.1,Low,50.9,46.4,65.0,Medium ($50-100),68.9,11.0,Mid (6-15 yrs)
PHY100142,"White Space (High Potential, Under-Engaged)",Internal Medicine,Northeast,1 - Preferred (low copay),Not adopted,14.3,0,241.0,34.0,207.0,1,Low (0-1/qtr),95.1,High,71.8,75.4,39.0,Low ($0-50),52.1,15.0,Mid (6-15 yrs)
PHY100143,Access-Constrained,Primary Care,Midwest,3 - Restricted (high copay),Not adopted,1.4,0,209.0,3.0,206.0,3,Medium (2-3/qtr),26.0,Low,36.3,50.1,114.0,High ($100+),52.6,1.0,Early (0-5 yrs)
PHY100144,"White Space (High Potential, Under-Engaged)",Primary Care,Midwest,1 - Preferred (low copay),Not adopted,19.5,0,253.0,49.0,204.0,3,Medium (2-3/qtr),81.4,High,78.1,24.9,30.0,Low ($0-50),84.3,16.0,Senior (16+ yrs)
PHY100145,Access-Constrained,Endocrinology,Midwest,1 - Preferred (low copay),Not adopted,6.5,0,235.0,15.0,220.0,2,Medium (2-3/qtr),29.5,Low,55.5,44.8,102.0,High ($100+),45.7,27.0,Senior (16+ yrs)
PHY100146,"White Space (High Potential, Under-Engaged)",Endocrinology,South,1 - Preferred (low copay),Not adopted,17.1,0,271.0,46.0,225.0,2,Medium (2-3/qtr),46.0,Medium,58.7,8.2,61.0,Medium ($50-100),45.3,11.0,Mid (6-15 yrs)
PHY100147,Access-Constrained,Primary Care,West,3 - Restricted (high copay),Not adopted,4.2,0,202.0,8.0,194.0,2,Medium (2-3/qtr),63.8,Medium,52.6,25.8,107.0,High ($100+),48.6,16.0,Senior (16+ yrs)
PHY100148,Access-Constrained,Primary Care,West,1 - Preferred (low copay),Not adopted,2.6,0,234.0,6.0,228.0,3,Medium (2-3/qtr),32.0,Low,39.9,62.7,100.0,Medium ($50-100),22.9,21.0,Senior (16+ yrs)
PHY100149,Access-Constrained,Cardiology,Midwest,2 - Standard,Not adopted,13.5,0,162.0,22.0,140.0,2,Medium (2-3/qtr),85.0,High,50.0,45.1,85.0,Medium ($50-100),31.3,13.0,Mid (6-15 yrs)
PHY100150,Advocates (High Adopters),Internal Medicine,South,2 - Standard,Not adopted,12.4,0,144.0,18.0,126.0,7,High (4+/qtr),51.7,Medium,41.1,68.5,95.0,Medium ($50-100),30.4,10.0,Mid (6-15 yrs)
PHY100151,Access-Constrained,Internal Medicine,Midwest,3 - Restricted (high copay),Not adopted,8.9,0,282.0,25.0,257.0,3,Medium (2-3/qtr),60.1,Medium,69.2,10.7,91.0,Medium ($50-100),47.7,1.0,Early (0-5 yrs)
PHY100152,"White Space (High Potential, Under-Engaged)",Cardiology,Midwest,1 - Preferred (low copay),Not adopted,25.9,0,193.0,50.0,143.0,3,Medium (2-3/qtr),44.1,Medium,45.9,45.2,26.0,Low ($0-50),35.4,18.0,Senior (16+ yrs)
PHY100153,Advocates (High Adopters),Primary Care,Northeast,1 - Preferred (low copay),Not adopted,16.8,0,228.0,38.0,190.0,5,High (4+/qtr),64.5,Medium,20.1,40.5,45.0,Low ($0-50),40.1,13.0,Mid (6-15 yrs)
PHY100154,Access-Constrained,Cardiology,West,2 - Standard,Not adopted,1.3,0,187.0,2.0,185.0,4,High (4+/qtr),84.7,High,16.4,69.1,140.0,High ($100+),54.3,7.0,Mid (6-15 yrs)
PHY100155,Advocates (High Adopters),Primary Care,West,1 - Preferred (low copay),Not adopted,2.5,0,145.0,4.0,141.0,4,High (4+/qtr),47.1,Medium,15.5,63.5,76.0,Medium ($50-100),50.9,15.0,Mid (6-15 yrs)
PHY100156,Access-Constrained,Endocrinology,South,2 - Standard,Not adopted,12.1,0,181.0,22.0,159.0,2,Medium (2-3/qtr),88.1,High,62.4,62.8,92.0,Medium ($50-100),35.6,10.0,Mid (6-15 yrs)
PHY100157,Access-Constrained,Primary Care,South,2 - Standard,Not adopted,2.0,0,266.0,5.0,261.0,1,Low (0-1/qtr),36.5,Medium,27.0,80.8,61.0,Medium ($50-100),28.0,10.0,Mid (6-15 yrs)
PHY100158,Access-Constrained,Primary Care,South,2 - Standard,Not adopted,9.1,0,213.0,19.0,194.0,1,Low (0-1/qtr),66.8,High,56.0,42.6,108.0,High ($100+),55.0,18.0,Senior (16+ yrs)
PHY100159,"White Space (High Potential, Under-Engaged)",Primary Care,South,1 - Preferred (low copay),Not adopted,7.8,0,77.0,6.0,71.0,1,Low (0-1/qtr),60.8,Medium,52.7,76.7,26.0,Low ($0-50),49.6,5.0,Early (0-5 yrs)
PHY100160,Advocates (High Adopters),Cardiology,South,2 - Standard,Not adopted,11.7,0,167.0,20.0,147.0,3,Medium (2-3/qtr),26.5,Low,48.7,29.1,46.0,Low ($0-50),13.9,21.0,Senior (16+ yrs)
PHY100161,"White Space (High Potential, Under-Engaged)",Internal Medicine,Midwest,1 - Preferred (low copay),Not adopted,16.5,0,287.0,47.0,240.0,2,Medium (2-3/qtr),54.7,Medium,58.8,28.4,46.0,Low ($0-50),33.3,4.0,Early (0-5 yrs)
PHY100162,Access-Constrained,Endocrinology,Northeast,2 - Standard,Not adopted,4.4,0,167.0,7.0,160.0,3,Medium (2-3/qtr),50.2,Medium,53.2,65.1,134.0,High ($100+),40.5,9.0,Mid (6-15 yrs)
PHY100163,Access-Constrained,Cardiology,Northeast,1 - Preferred (low copay),Not adopted,3.8,0,72.0,3.0,69.0,4,High (4+/qtr),31.2,Low,0.0,19.9,107.0,High ($100+),49.7,27.0,Senior (16+ yrs)
PHY100164,Access-Constrained,Primary Care,West,3 - Restricted (high copay),Not adopted,1.0,0,294.0,3.0,291.0,0,Low (0-1/qtr),57.9,Medium,43.5,61.5,99.0,Medium ($50-100),51.7,22.0,Senior (16+ yrs)
PHY100165,Advocates (High Adopters),Endocrinology,South,2 - Standard,Not adopted,15.7,0,221.0,35.0,186.0,5,High (4+/qtr),53.2,Medium,58.5,52.0,68.0,Medium ($50-100),42.3,15.0,Mid (6-15 yrs)
PHY100166,"White Space (High Potential, Under-Engaged)",Internal Medicine,West,1 - Preferred (low copay),Not adopted,44.7,0,176.0,79.0,97.0,4,High (4+/qtr),48.4,Medium,82.8,71.4,19.0,Low ($0-50),46.8,7.0,Mid (6-15 yrs)
PHY100167,Advocates (High Adopters),Internal Medicine,Northeast,1 - Preferred (low copay),Not adopted,23.1,0,158.0,36.0,122.0,4,High (4+/qtr),48.5,Medium,83.7,48.8,62.0,Medium ($50-100),39.0,10.0,Mid (6-15 yrs)
PHY100168,Access-Constrained,Endocrinology,South,2 - Standard,Not adopted,1.3,0,245.0,3.0,242.0,0,Low (0-1/qtr),48.0,Medium,22.7,51.1,89.0,Medium ($50-100),27.9,15.0,Mid (6-15 yrs)
PHY100169,"White Space (High Potential, Under-Engaged)",Internal Medicine,Northeast,1 - Preferred (low copay),Not adopted,7.4,0,147.0,11.0,136.0,1,Low (0-1/qtr),41.9,Medium,43.0,60.2,80.0,Medium ($50-100),34.1,14.0,Mid (6-15 yrs)
PHY100170,"White Space (High Potential, Under-Engaged)",Endocrinology,Midwest,1 - Preferred (low copay),Not adopted,1.6,0,249.0,4.0,245.0,2,Medium (2-3/qtr),53.1,Medium,18.7,36.7,83.0,Medium ($50-100),38.3,13.0,Mid (6-15 yrs)
PHY100171,Access-Constrained,Primary Care,Northeast,3 - Restricted (high copay),Not adopted,4.3,0,213.0,9.0,204.0,3,Medium (2-3/qtr),35.8,Medium,80.4,35.9,105.0,High ($100+),37.5,14.0,Mid (6-15 yrs)
PHY100172,Access-Constrained,Endocrinology,Northeast,2 - Standard,Not adopted,18.1,0,195.0,35.0,160.0,2,Medium (2-3/qtr),100.0,High,70.3,59.5,99.0,Medium ($50-100),9.7,12.0,Mid (6-15 yrs)
PHY100173,"White Space (High Potential, Under-Engaged)",Internal Medicine,West,1 - Preferred (low copay),Not adopted,18.2,0,189.0,34.0,155.0,3,Medium (2-3/qtr),19.0,Low,57.0,49.4,42.0,Low ($0-50),32.0,4.0,Early (0-5 yrs)
PHY100174,Access-Constrained,Cardiology,Midwest,2 - Standard,Not adopted,5.7,0,170.0,10.0,160.0,2,Medium (2-3/qtr),37.1,Medium,53.3,41.9,98.0,Medium ($50-100),38.8,10.0,Mid (6-15 yrs)
PHY100175,"White Space (High Potential, Under-Engaged)",Cardiology,South,1 - Preferred (low copay),Adopted,19.9,1,243.0,48.0,195.0,2,Medium (2-3/qtr),38.9,Medium,77.6,48.3,47.0,Low ($0-50),33.8,20.0,Senior (16+ yrs)
PHY100176,Access-Constrained,Primary Care,South,3 - Restricted (high copay),Not adopted,4.5,0,128.0,6.0,122.0,3,Medium (2-3/qtr),94.9,High,74.2,81.9,121.0,High ($100+),34.3,4.0,Early (0-5 yrs)
PHY100177,Advocates (High Adopters),Internal Medicine,Midwest,1 - Preferred (low copay),Not adopted,12.1,0,83.0,10.0,73.0,4,High (4+/qtr),21.0,Low,73.2,41.1,69.0,Medium ($50-100),45.3,13.0,Mid (6-15 yrs)
PHY100178,Access-Constrained,Internal Medicine,South,2 - Standard,Not adopted,13.4,0,217.0,29.0,188.0,4,High (4+/qtr),59.4,Medium,59.1,40.6,87.0,Medium ($50-100),21.8,8.0,Mid (6-15 yrs)
PHY100179,Access-Constrained,Primary Care,Northeast,3 - Restricted (high copay),Not adopted,5.5,0,218.0,12.0,206.0,4,High (4+/qtr),55.5,Medium,43.0,15.9,130.0,High ($100+),13.6,15.0,Mid (6-15 yrs)
PHY100180,Advocates (High Adopters),Internal Medicine,West,1 - Preferred (low copay),Adopted,33.0,1,209.0,69.0,140.0,5,High (4+/qtr),57.3,Medium,65.3,49.2,21.0,Low ($0-50),32.8,11.0,Mid (6-15 yrs)
PHY100181,"White Space (High Potential, Under-Engaged)",Internal Medicine,West,1 - Preferred (low copay),Adopted,40.3,1,204.0,82.0,122.0,5,High (4+/qtr),77.2,High,66.3,63.1,33.0,Low ($0-50),49.5,24.0,Senior (16+ yrs)
PHY100182,"White Space (High Potential, Under-Engaged)",Primary Care,South,2 - Standard,Not adopted,2.2,0,161.0,4.0,157.0,2,Medium (2-3/qtr),76.7,High,46.2,66.7,78.0,Medium ($50-100),63.3,18.0,Senior (16+ yrs)
PHY100183,Access-Constrained,Endocrinology,South,3 - Restricted (high copay),Not adopted,1.6,0,227.0,4.0,223.0,4,High (4+/qtr),40.1,Medium,43.0,52.2,74.0,Medium ($50-100),49.7,5.0,Early (0-5 yrs)
PHY100184,"White Space (High Potential, Under-Engaged)",Primary Care,Northeast,2 - Standard,Not adopted,6.0,0,177.0,11.0,166.0,2,Medium (2-3/qtr),54.3,Medium,72.7,69.1,75.0,Medium ($50-100),16.0,19.0,Senior (16+ yrs)
PHY100185,Access-Constrained,Primary Care,West,2 - Standard,Not adopted,4.9,0,151.0,7.0,144.0,2,Medium (2-3/qtr),9.0,Low,83.3,64.6,76.0,Medium ($50-100),34.5,9.0,Mid (6-15 yrs)
PHY100186,Access-Constrained,Endocrinology,Midwest,3 - Restricted (high copay),Not adopted,0.4,0,161.0,1.0,160.0,2,Medium (2-3/qtr),52.2,Medium,35.0,72.3,143.0,High ($100+),41.8,10.0,Mid (6-15 yrs)
PHY100187,Access-Constrained,Cardiology,Northeast,3 - Restricted (high copay),Not adopted,2.1,0,301.0,6.0,295.0,2,Medium (2-3/qtr),32.5,Low,44.7,69.7,114.0,High ($100+),40.7,16.0,Senior (16+ yrs)
PHY100188,Access-Constrained,Primary Care,Midwest,2 - Standard,Not adopted,2.7,0,76.0,2.0,74.0,3,Medium (2-3/qtr),45.9,Medium,57.0,81.4,111.0,High ($100+),46.1,11.0,Mid (6-15 yrs)
PHY100189,Advocates (High Adopters),Endocrinology,West,2 - Standard,Not adopted,12.8,0,210.0,27.0,183.0,6,High (4+/qtr),12.9,Low,59.7,46.6,93.0,Medium ($50-100),24.2,20.0,Senior (16+ yrs)
PHY100190,Advocates (High Adopters),Internal Medicine,South,2 - Standard,Not adopted,14.5,0,79.0,11.0,68.0,5,High (4+/qtr),58.9,Medium,39.6,23.5,72.0,Medium ($50-100),39.0,9.0,Mid (6-15 yrs)
PHY100191,Advocates (High Adopters),Endocrinology,South,1 - Preferred (low copay),Not adopted,22.9,0,174.0,40.0,134.0,4,High (4+/qtr),12.7,Low,87.7,63.3,63.0,Medium ($50-100),44.3,10.0,Mid (6-15 yrs)
PHY100192,Access-Constrained,Cardiology,West,3 - Restricted (high copay),Not adopted,11.4,0,154.0,18.0,136.0,5,High (4+/qtr),53.3,Medium,58.4,65.6,128.0,High ($100+),50.4,9.0,Mid (6-15 yrs)
PHY100193,"White Space (High Potential, Under-Engaged)",Internal Medicine,Northeast,1 - Preferred (low copay),Not adopted,3.0,0,55.0,2.0,53.0,1,Low (0-1/qtr),23.0,Low,60.6,81.4,90.0,Medium ($50-100),25.9,10.0,Mid (6-15 yrs)
PHY100194,Advocates (High Adopters),Cardiology,West,1 - Preferred (low copay),Not adopted,14.2,0,203.0,29.0,174.0,4,High (4+/qtr),31.3,Low,85.2,75.6,57.0,Medium ($50-100),32.8,22.0,Senior (16+ yrs)
PHY100195,Access-Constrained,Cardiology,Midwest,3 - Restricted (high copay),Adopted,2.4,1,157.0,4.0,153.0,3,Medium (2-3/qtr),75.4,High,41.0,88.9,69.0,Medium ($50-100),5.0,18.0,Senior (16+ yrs)
PHY100196,"White Space (High Potential, Under-Engaged)",Primary Care,South,2 - Standard,Not adopted,17.3,0,54.0,9.0,45.0,4,High (4+/qtr),62.9,Medium,48.2,62.4,42.0,Low ($0-50),28.7,26.0,Senior (16+ yrs)
PHY100197,"White Space (High Potential, Under-Engaged)",Internal Medicine,Northeast,1 - Preferred (low copay),Not adopted,22.4,0,230.0,52.0,178.0,3,Medium (2-3/qtr),75.3,High,24.9,54.6,52.0,Medium ($50-100),30.1,30.0,Senior (16+ yrs)
PHY100198,"White Space (High Potential, Under-Engaged)",Cardiology,West,1 - Preferred (low copay),Adopted,79.5,1,266.0,211.0,55.0,4,High (4+/qtr),84.3,High,46.6,22.3,5.0,Low ($0-50),22.7,7.0,Mid (6-15 yrs)
PHY100199,Access-Constrained,Endocrinology,Midwest,2 - Standard,Not adopted,1.2,0,269.0,3.0,266.0,3,Medium (2-3/qtr),33.0,Low,20.2,56.2,130.0,High ($100+),40.5,14.0,Mid (6-15 yrs)
PHY100200,Access-Constrained,Primary Care,Northeast,3 - Restricted (high copay),Not adopted,5.4,0,202.0,11.0,191.0,2,Medium (2-3/qtr),83.0,High,65.0,38.9,125.0,High ($100+),37.2,6.0,Mid (6-15 yrs)
PHY100201,"White Space (High Potential, Under-Engaged)",Internal Medicine,Midwest,1 - Preferred (low copay),Adopted,15.7,1,183.0,29.0,154.0,1,Low (0-1/qtr),17.8,Low,58.4,54.2,44.0,Low ($0-50),5.0,9.0,Mid (6-15 yrs)
PHY100202,"White Space (High Potential, Under-Engaged)",Primary Care,Northeast,1 - Preferred (low copay),Not adopted,7.6,0,260.0,20.0,240.0,2,Medium (2-3/qtr),66.4,High,44.5,51.1,32.0,Low ($0-50),41.2,10.0,Mid (6-15 yrs)
PHY100203,Access-Constrained,Cardiology,Northeast,2 - Standard,Not adopted,1.1,0,281.0,3.0,278.0,1,Low (0-1/qtr),39.1,Medium,48.0,59.4,111.0,High ($100+),24.1,7.0,Mid (6-15 yrs)
PHY100204,Access-Constrained,Cardiology,South,3 - Restricted (high copay),Not adopted,15.6,0,248.0,39.0,209.0,5,High (4+/qtr),29.5,Low,65.2,48.1,82.0,Medium ($50-100),45.3,7.0,Mid (6-15 yrs)
PHY100205,"White Space (High Potential, Under-Engaged)",Endocrinology,Midwest,1 - Preferred (low copay),Not adopted,14.1,0,124.0,17.0,107.0,2,Medium (2-3/qtr),63.5,Medium,27.3,68.7,35.0,Low ($0-50),18.8,13.0,Mid (6-15 yrs)
PHY100206,Access-Constrained,Cardiology,West,3 - Restricted (high copay),Adopted,28.6,1,192.0,55.0,137.0,3,Medium (2-3/qtr),70.8,High,54.1,0.0,91.0,Medium ($50-100),38.5,5.0,Early (0-5 yrs)
PHY100207,Access-Constrained,Primary Care,Midwest,3 - Restricted (high copay),Not adopted,4.2,0,206.0,9.0,197.0,3,Medium (2-3/qtr),70.1,High,64.0,53.8,113.0,High ($100+),33.8,20.0,Senior (16+ yrs)
PHY100208,Advocates (High Adopters),Cardiology,South,1 - Preferred (low copay),Not adopted,6.3,0,71.0,4.0,67.0,4,High (4+/qtr),54.7,Medium,14.4,74.0,76.0,Medium ($50-100),42.5,8.0,Mid (6-15 yrs)
PHY100209,Access-Constrained,Primary Care,South,3 - Restricted (high copay),Not adopted,0.3,0,208.0,1.0,207.0,0,Low (0-1/qtr),52.9,Medium,63.7,87.4,140.0,High ($100+),39.9,34.0,Senior (16+ yrs)
PHY100210,Access-Constrained,Primary Care,South,2 - Standard,Not adopted,1.0,0,316.0,3.0,313.0,2,Medium (2-3/qtr),61.6,Medium,16.5,64.6,111.0,High ($100+),34.2,11.0,Mid (6-15 yrs)
PHY100211,Advocates (High Adopters),Primary Care,South,2 - Standard,Not adopted,5.3,0,218.0,12.0,206.0,6,High (4+/qtr),56.7,Medium,47.6,83.7,85.0,Medium ($50-100),15.0,15.0,Mid (6-15 yrs)
PHY100212,Access-Constrained,Cardiology,South,2 - Standard,Not adopted,2.1,0,268.0,6.0,262.0,4,High (4+/qtr),61.9,Medium,26.7,53.4,111.0,High ($100+),15.8,5.0,Early (0-5 yrs)
PHY100213,Access-Constrained,Internal Medicine,West,3 - Restricted (high copay),Not adopted,9.3,0,191.0,18.0,173.0,5,High (4+/qtr),54.5,Medium,78.6,50.1,93.0,Medium ($50-100),29.2,26.0,Senior (16+ yrs)
PHY100214,Access-Constrained,Primary Care,Midwest,3 - Restricted (high copay),Not adopted,1.9,0,176.0,3.0,173.0,2,Medium (2-3/qtr),68.5,High,26.9,60.6,64.0,Medium ($50-100),37.9,22.0,Senior (16+ yrs)
PHY100215,Access-Constrained,Primary Care,Northeast,3 - Restricted (high copay),Not adopted,0.4,0,203.0,1.0,202.0,1,Low (0-1/qtr),14.2,Low,17.0,49.9,93.0,Medium ($50-100),28.9,16.0,Senior (16+ yrs)
PHY100216,Access-Constrained,Cardiology,South,3 - Restricted (high copay),Not adopted,4.2,0,131.0,6.0,125.0,3,Medium (2-3/qtr),47.1,Medium,52.7,34.4,90.0,Medium ($50-100),47.4,5.0,Early (0-5 yrs)
PHY100217,Advocates (High Adopters),Cardiology,West,2 - Standard,Not adopted,3.9,0,122.0,5.0,117.0,4,High (4+/qtr),19.6,Low,41.7,39.7,69.0,Medium ($50-100),33.8,15.0,Mid (6-15 yrs)
PHY100218,Access-Constrained,Internal Medicine,Northeast,3 - Restricted (high copay),Not adopted,1.0,0,256.0,3.0,253.0,2,Medium (2-3/qtr),56.1,Medium,19.9,27.8,86.0,Medium ($50-100),23.5,6.0,Mid (6-15 yrs)
PHY100219,Access-Constrained,Endocrinology,Midwest,3 - Restricted (high copay),Not adopted,6.6,0,262.0,17.0,245.0,2,Medium (2-3/qtr),86.1,High,60.5,60.6,98.0,Medium ($50-100),33.8,24.0,Senior (16+ yrs)
PHY100220,Advocates (High Adopters),Endocrinology,West,1 - Preferred (low copay),Not adopted,5.5,0,121.0,7.0,114.0,5,High (4+/qtr),39.6,Medium,10.2,50.2,76.0,Medium ($50-100),41.4,20.0,Senior (16+ yrs)
PHY100221,Advocates (High Adopters),Primary Care,South,1 - Preferred (low copay),Not adopted,3.6,0,238.0,9.0,229.0,5,High (4+/qtr),52.8,Medium,29.3,42.8,103.0,High ($100+),42.9,15.0,Mid (6-15 yrs)
PHY100222,"White Space (High Potential, Under-Engaged)",Primary Care,West,2 - Standard,Not adopted,6.6,0,175.0,12.0,163.0,3,Medium (2-3/qtr),66.6,High,38.5,38.7,42.0,Low ($0-50),66.2,1.0,Early (0-5 yrs)
PHY100223,Access-Constrained,Internal Medicine,South,3 - Restricted (high copay),Not adopted,1.6,0,200.0,3.0,197.0,2,Medium (2-3/qtr),4.5,Low,66.0,60.1,78.0,Medium ($50-100),28.0,7.0,Mid (6-15 yrs)
PHY100224,"White Space (High Potential, Under-Engaged)",Endocrinology,South,1 - Preferred (low copay),Not adopted,17.8,0,208.0,37.0,171.0,2,Medium (2-3/qtr),38.5,Medium,75.9,65.6,40.0,Low ($0-50),36.9,19.0,Senior (16+ yrs)
PHY100225,Access-Constrained,Internal Medicine,Midwest,2 - Standard,Not adopted,4.4,0,240.0,11.0,229.0,5,High (4+/qtr),58.0,Medium,72.1,27.4,104.0,High ($100+),44.4,22.0,Senior (16+ yrs)
